"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006525","GO:0006525","arginine metabolic process","6/52","16/6436",0.375,46.4134615384615,16.4137037967139,1.55670169701776e-09,8.21938496025376e-07,6.75116946496122e-07,"854096/851158/855993/855084/853573/856411",6
"GO:0170041","GO:0170041","non-proteinogenic amino acid metabolic process","7/52","39/6436",0.179487179487179,22.2149901380671,11.9926862148006,1.86850880405903e-08,4.93286324271585e-06,4.05171382774906e-06,"854096/851158/855993/855084/853573/856411/856539",7
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","11/52","174/6436",0.0632183908045977,7.82449160035367,8.23602970520808,9.48863263573032e-08,1.66999934388854e-05,1.37169005120031e-05,"851987/854096/851158/855993/855291/855084/853482/853573/856411/856539/850342",11
"GO:0006520","GO:0006520","amino acid metabolic process","12/52","232/6436",0.0517241379310345,6.40185676392573,7.56276612686009,2.08257891882684e-07,2.74900417285142e-05,2.25795398567541e-05,"851705/851987/854096/851158/855993/855291/855084/853482/853573/856411/856539/850342",12
"GO:0009064","GO:0009064","glutamine family amino acid metabolic process","7/52","58/6436",0.120689655172414,14.9376657824934,9.62257475663734,3.24965472277374e-07,3.43163538724907e-05,2.81864788585849e-05,"854096/851158/855993/855291/855084/853573/856411",7
"GO:0019752","GO:0019752","carboxylic acid metabolic process","14/52","370/6436",0.0378378378378378,4.68316008316008,6.58566693085728,8.03845728112574e-07,6.41062692213939e-05,5.26550696156585e-05,"851705/851987/854495/854096/851158/855993/855291/855084/853482/853573/856411/856539/850342/850614",14
"GO:0006526","GO:0006526","arginine biosynthetic process","4/52","11/6436",0.363636363636364,45.006993006993,13.1829006499863,1.19949100791301e-06,6.41062692213939e-05,5.26550696156585e-05,"854096/855084/853573/856411",4
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","9/52","139/6436",0.0647482014388489,8.01383508577753,7.54441573128494,1.31892025056566e-06,6.41062692213939e-05,5.26550696156585e-05,"851987/854096/851158/855993/855291/855084/853573/856411/856539",9
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","6/52","45/6436",0.133333333333333,16.5025641025641,9.41791772655138,1.32464547459701e-06,6.41062692213939e-05,5.26550696156585e-05,"851987/851158/855993/855291/853482/856539",6
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","5/52","25/6436",0.2,24.7538461538462,10.7391661979908,1.3300752238141e-06,6.41062692213939e-05,5.26550696156585e-05,"854096/851158/855084/853573/856411",5
"GO:0043436","GO:0043436","oxoacid metabolic process","14/52","388/6436",0.0360824742268041,4.46590007930214,6.3555848015319,1.4251251193491e-06,6.41062692213939e-05,5.26550696156585e-05,"851705/851987/854495/854096/851158/855993/855291/855084/853482/853573/856411/856539/850342/850614",14
"GO:0006082","GO:0006082","organic acid metabolic process","14/52","390/6436",0.0358974358974359,4.44299802761341,6.33088630612954,1.51571750706767e-06,6.41062692213939e-05,5.26550696156585e-05,"851705/851987/854495/854096/851158/855993/855291/855084/853482/853573/856411/856539/850342/850614",14
"GO:0170033","GO:0170033","L-amino acid metabolic process","9/52","142/6436",0.0633802816901408,7.84452871072589,7.44310011729387,1.57837405279947e-06,6.41062692213939e-05,5.26550696156585e-05,"851987/854096/851158/855993/855291/855084/853573/856411/856539",9
"GO:0008652","GO:0008652","amino acid biosynthetic process","8/52","124/6436",0.0645161290322581,7.98511166253102,7.08810608409007,5.6006645036283e-06,0.000211225061279696,0.0001734942688342,"851705/854096/851158/855084/853573/856411/856539/850342",8
"GO:0009063","GO:0009063","amino acid catabolic process","6/52","59/6436",0.101694915254237,12.5867014341591,8.06876601886196,6.72310079339358e-06,0.000236653147927454,0.000194380177324783,"851987/851158/855993/855291/853482/856539",6
"GO:0170035","GO:0170035","L-amino acid catabolic process","5/52","37/6436",0.135135135135135,16.7255717255717,8.65726594653915,1.01419324495669e-05,0.000334683770835708,0.000274899747975103,"851987/851158/855993/855291/856539",5
"GO:0016053","GO:0016053","organic acid biosynthetic process","9/52","191/6436",0.0471204188481675,5.83205799436166,6.11803713307289,1.80363168315547e-05,0.000529065293725604,0.000434559212549739,"851705/854096/851158/855084/853482/853573/856411/856539/850342",9
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","9/52","191/6436",0.0471204188481675,5.83205799436166,6.11803713307289,1.80363168315547e-05,0.000529065293725604,0.000434559212549739,"851705/854096/851158/855084/853482/853573/856411/856539/850342",9
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","7/52","113/6436",0.0619469026548673,7.66712049012934,6.45275896689972,2.97452706527371e-05,0.000826605416033956,0.000678950222101256,"854096/851158/855084/853573/856411/856539/850342",7
"GO:0009072","GO:0009072","aromatic amino acid metabolic process","4/52","29/6436",0.137931034482759,17.0716180371353,7.82817899613848,7.75256286461436e-05,0.00196053285567512,0.001610326029781,"851705/851987/853482/856539",4
"GO:0170034","GO:0170034","L-amino acid biosynthetic process","6/52","91/6436",0.0659340659340659,8.16060862214708,6.20846630347998,8.16888689864635e-05,0.00196053285567512,0.001610326029781,"854096/851158/855084/853573/856411/856539",6
"GO:0170038","GO:0170038","proteinogenic amino acid biosynthetic process","6/52","91/6436",0.0659340659340659,8.16060862214708,6.20846630347998,8.16888689864635e-05,0.00196053285567512,0.001610326029781,"854096/851158/855084/853573/856411/856539",6
"GO:0170040","GO:0170040","proteinogenic amino acid catabolic process","4/52","33/6436",0.121212121212121,15.002331002331,7.27771538079483,0.000130416268465493,0.0028069836240475,0.00230557666090026,"851987/851158/855993/855291",4
"GO:0046395","GO:0046395","carboxylic acid catabolic process","6/52","99/6436",0.0606060606060606,7.5011655011655,5.88296783751333,0.000130730769562718,0.0028069836240475,0.00230557666090026,"851987/851158/855993/855291/853482/856539",6
"GO:0009074","GO:0009074","aromatic amino acid family catabolic process","3/52","13/6436",0.230769230769231,28.5621301775148,8.97728479615778,0.000134403933339095,0.0028069836240475,0.00230557666090026,"851987/853482/856539",3
"GO:0016054","GO:0016054","organic acid catabolic process","6/52","100/6436",0.06,7.42615384615385,5.84484559275374,0.000138222678456885,0.0028069836240475,0.00230557666090026,"851987/851158/855993/855291/853482/856539",6
"GO:0009065","GO:0009065","glutamine family amino acid catabolic process","3/52","14/6436",0.214285714285714,26.521978021978,8.62725640947072,0.000170084894872263,0.00332610461083536,0.0027319679020418,"851158/855993/855291",3
"GO:0009117","GO:0009117","nucleotide metabolic process","8/52","212/6436",0.0377358490566038,4.67053701015965,4.90447194036644,0.000262010971796784,0.00494077832531079,0.00405821505189004,"854495/852846/853163/853482/853573/856692/856626/850614",8
"GO:0044283","GO:0044283","small molecule biosynthetic process","10/52","341/6436",0.0293255131964809,3.62959621024137,4.50307217592516,0.000328641778905398,0.00593236631544887,0.0048726772766446,"851705/851987/854096/851158/855084/853482/853573/856411/856539/850342",10
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","8/52","220/6436",0.0363636363636364,4.5006993006993,4.76804289249232,0.000337066267923231,0.00593236631544887,0.0048726772766446,"854495/852846/853163/853482/853573/856692/856626/850614",8
"GO:0015755","GO:0015755","fructose transmembrane transport","3/52","18/6436",0.166666666666667,20.6282051282051,7.52569290520927,0.000372678929982914,0.00634756371067673,0.00521370862998168,"851943/855809/850614",3
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","4/52","50/6436",0.08,9.90153846153846,5.70249779477357,0.000663273341918348,0.0109440101416527,0.00898909923915656,"851705/851158/855291/853482",4
"GO:1904659","GO:1904659","glucose transmembrane transport","3/52","23/6436",0.130434782608696,16.1438127090301,6.56595702924304,0.000786101704949905,0.0125776272791985,0.010330905978927,"851943/855809/850614",3
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","8/52","251/6436",0.0318725099601594,3.94483604045357,4.2949452955404,0.000812049350650863,0.0126106487395193,0.0103580288689831,"854495/852846/853163/853482/853573/856692/856626/850614",8
"GO:0008645","GO:0008645","hexose transmembrane transport","3/52","26/6436",0.115384615384615,14.2810650887574,6.1237869454463,0.00113451687156222,0.0166395807829125,0.0136672792714513,"851943/855809/850614",3
"GO:0015749","GO:0015749","monosaccharide transmembrane transport","3/52","26/6436",0.115384615384615,14.2810650887574,6.1237869454463,0.00113451687156222,0.0166395807829125,0.0136672792714513,"851943/855809/850614",3
"GO:0044282","GO:0044282","small molecule catabolic process","6/52","149/6436",0.0402684563758389,4.98399586990191,4.44037646193029,0.00117759056769788,0.0168045356687698,0.0138027685317647,"851987/851158/855993/855291/853482/856539",6
"GO:0009165","GO:0009165","nucleotide biosynthetic process","5/52","118/6436",0.0423728813559322,5.24445893089961,4.19955271253435,0.00248673602083016,0.0345525426052191,0.0283804775784495,"852846/853482/853573/856692/856626",5
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","5/52","120/6436",0.0416666666666667,5.15705128205128,4.14843655676532,0.00267599527313193,0.0347530799943504,0.028545193296795,"852846/853482/853573/856692/856626",5
"GO:0006551","GO:0006551","leucine metabolic process","2/52","10/6436",0.2,24.7538461538462,6.78411321640445,0.00276444954500514,0.0347530799943504,0.028545193296795,"851987/850342",2
"GO:0006569","GO:0006569","tryptophan catabolic process","2/52","10/6436",0.2,24.7538461538462,6.78411321640445,0.00276444954500514,0.0347530799943504,0.028545193296795,"851987/853482",2
"GO:0042436","GO:0042436","indole-containing compound catabolic process","2/52","10/6436",0.2,24.7538461538462,6.78411321640445,0.00276444954500514,0.0347530799943504,0.028545193296795,"851987/853482",2
"GO:0009259","GO:0009259","ribonucleotide metabolic process","5/52","125/6436",0.04,4.95076923076923,4.02547457003999,0.00319479045663218,0.0385823633616437,0.0316904579445718,"854495/853573/856692/856626/850614",5
"GO:0015891","GO:0015891","siderophore transport","2/52","11/6436",0.181818181818182,22.5034965034965,6.44166844091974,0.00336134226256744,0.0385823633616437,0.0316904579445718,"854564/854565",2
"GO:0019856","GO:0019856","pyrimidine nucleobase biosynthetic process","2/52","11/6436",0.181818181818182,22.5034965034965,6.44166844091974,0.00336134226256744,0.0385823633616437,0.0316904579445718,"853573/856692",2
"GO:1902047","GO:1902047","polyamine transmembrane transport","2/52","11/6436",0.181818181818182,22.5034965034965,6.44166844091974,0.00336134226256744,0.0385823633616437,0.0316904579445718,"853039/850631",2
"GO:0034219","GO:0034219","carbohydrate transmembrane transport","3/52","39/6436",0.0769230769230769,9.5207100591716,4.81669807065252,0.00370376679780927,0.0416082738136871,0.0341758548868403,"851943/855809/850614",3
"GO:0042537","GO:0042537","benzene-containing compound metabolic process","2/52","12/6436",0.166666666666667,20.6282051282051,6.14183228743232,0.00401281466442046,0.044140961308625,0.0362561324943252,"853482/856539",2
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","4/52","82/6436",0.0487804878048781,6.0375234521576,4.14314287647116,0.00416562202002195,0.0448867025830936,0.0368686632062093,"852846/853163/853482/850614",4
