"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042026","GO:0042026","protein refolding","10/102","30/6436",0.333333333333333,21.0326797385621,13.9553759366327,1.47565496693224e-11,9.62127038439819e-09,8.52773238785051e-09,"851845/850633/850963/850914/855836/852467/852203/853418/856840/851259",10
"GO:0006458","GO:0006458","'de novo' protein folding","7/102","30/6436",0.233333333333333,14.7228758169935,9.55977400213832,3.08161773855736e-07,0.00010046073827697,8.90425336035786e-05,"850633/850963/855836/852203/853418/856840/851259",7
"GO:1901565","GO:1901565","organonitrogen compound catabolic process","22/102","424/6436",0.0518867924528302,3.27395486496485,6.14738785224341,5.20165380257898e-07,0.000101009423327897,8.95288560009937e-05,"852628/852902/851158/850833/850620/856098/855993/855949/855291/852467/852203/855732/853418/853613/853670/856649/856422/856432/856443/856539/850605/851259",22
"GO:0006457","GO:0006457","protein folding","12/102","127/6436",0.094488188976378,5.96201945345067,7.16663673467349,6.1968971366808e-07,0.000101009423327897,8.95288560009937e-05,"851845/851751/853043/850633/850963/850914/855836/852467/852203/853418/856840/851259",12
"GO:0009065","GO:0009065","glutamine family amino acid catabolic process","5/102","14/6436",0.357142857142857,22.5350140056022,10.2355069556675,1.61974869992786e-06,0.000211215230470593,0.00018720884973903,"851158/850833/855993/855291/856432",5
"GO:0046395","GO:0046395","carboxylic acid catabolic process","10/102","99/6436",0.101010101010101,6.37353931471579,6.83709330012755,3.09494992173498e-06,0.000249637176582358,0.000221263819734767,"852902/851158/850833/855993/855291/852523/855447/853613/856432/856539",10
"GO:0016054","GO:0016054","organic acid catabolic process","10/102","100/6436",0.1,6.30980392156863,6.79057001793089,3.39399349980347e-06,0.000249637176582358,0.000221263819734767,"852902/851158/850833/855993/855291/852523/855447/853613/856432/856539",10
"GO:0009063","GO:0009063","amino acid catabolic process","8/102","59/6436",0.135593220338983,8.55566633433034,7.3981971454332,3.43406054295597e-06,0.000249637176582358,0.000221263819734767,"852902/851158/850833/855993/855291/853613/856432/856539",8
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","5/102","16/6436",0.3125,19.718137254902,9.51240728384811,3.44591194668899e-06,0.000249637176582358,0.000221263819734767,"850633/852203/853418/856840/851259",5
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","11/102","139/6436",0.079136690647482,4.99337000987445,6.03970097848958,1.06687436274476e-05,0.000695602084509585,0.000616541079101973,"851346/851158/850833/855993/855291/855786/853613/856814/856432/856539/854852",11
"GO:0170033","GO:0170033","L-amino acid metabolic process","11/102","142/6436",0.0774647887323944,4.88787627727147,5.94468122192896,1.30868473738645e-05,0.00077569313525088,0.000687529110837477,"851346/851158/850833/855993/855291/855786/853613/856814/856432/856539/854852",11
"GO:0044282","GO:0044282","small molecule catabolic process","11/102","149/6436",0.0738255033557047,4.65824450585603,5.73296730537814,2.06581309007916e-05,0.00107035612244705,0.000948701180535085,"852721/852902/851158/850833/855993/855291/852523/855447/853613/856432/856539",11
"GO:0170035","GO:0170035","L-amino acid catabolic process","6/102","37/6436",0.162162162162162,10.2321144674086,7.14630124548444,2.1341456429159e-05,0.00107035612244705,0.000948701180535085,"851158/850833/855993/855291/856432/856539",6
"GO:0051084","GO:0051084","'de novo' post-translational protein folding","5/102","24/6436",0.208333333333333,13.1454248366013,7.56409381561789,3.0314985670362e-05,0.00141181218979115,0.001251347904739,"850633/852203/853418/856840/851259",5
"GO:0006616","GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation","4/102","13/6436",0.307692307692308,19.4147812971342,8.43343714516383,3.81015910797596e-05,0.0015526398365002,0.00137616930939395,"852203/853418/856840/851259",4
"GO:0019878","GO:0019878","lysine biosynthetic process via aminoadipic acid","4/102","13/6436",0.307692307692308,19.4147812971342,8.43343714516383,3.81015910797596e-05,0.0015526398365002,0.00137616930939395,"851346/855786/856539/854852",4
"GO:0006536","GO:0006536","glutamate metabolic process","4/102","14/6436",0.285714285714286,18.0280112044818,8.09334635581459,5.26943280316923e-05,0.00202098246333314,0.00179128087240861,"851158/850833/855291/856432",4
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","6/102","45/6436",0.133333333333333,8.41307189542484,6.33221120951446,6.7486564563641e-05,0.00243585429444345,0.00215899904367041,"851158/850833/855993/855291/856432/856539",6
"GO:0009085","GO:0009085","lysine biosynthetic process","4/102","15/6436",0.266666666666667,16.8261437908497,7.78672314630049,7.09834840405299e-05,0.00243585429444345,0.00215899904367041,"851346/855786/856539/854852",4
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","11/102","174/6436",0.0632183908045977,3.98895650214109,5.0719272943497,8.66045608114554e-05,0.00256912160101424,0.00227711940419248,"851346/851158/850833/855993/855291/855786/853613/856814/856432/856539/854852",11
"GO:0170034","GO:0170034","L-amino acid biosynthetic process","8/102","91/6436",0.0879120879120879,5.54708037060978,5.54335695888491,8.66881521814622e-05,0.00256912160101424,0.00227711940419248,"851346/851158/855786/853613/856814/856432/856539/854852",8
"GO:0170038","GO:0170038","proteinogenic amino acid biosynthetic process","8/102","91/6436",0.0879120879120879,5.54708037060978,5.54335695888491,8.66881521814622e-05,0.00256912160101424,0.00227711940419248,"851346/851158/855786/853613/856814/856432/856539/854852",8
"GO:0006553","GO:0006553","lysine metabolic process","4/102","16/6436",0.25,15.7745098039216,7.50828743054032,9.34960080718103e-05,0.00265040857664436,0.00234916743393244,"851346/855786/856539/854852",4
"GO:0043436","GO:0043436","oxoacid metabolic process","17/102","388/6436",0.0438144329896907,2.76460481099656,4.54980477835817,0.000108232185086212,0.00294030769484209,0.00260611708826011,"851346/854556/852902/851158/850833/855993/856088/855291/852523/855732/855786/855447/853613/856814/856432/856539/854852",17
"GO:0006082","GO:0006082","organic acid metabolic process","17/102","390/6436",0.0435897435897436,2.75042735042735,4.52561551523561,0.000115290057154689,0.00300676469059429,0.00266502068959681,"851346/854556/852902/851158/850833/855993/856088/855291/852523/855732/855786/855447/853613/856814/856432/856539/854852",17
"GO:0051604","GO:0051604","protein maturation","12/102","213/6436",0.0563380281690141,3.55481911074289,4.81155427820936,0.000123783867683467,0.00310411852806233,0.00275130944770135,"851845/851751/853043/850633/850963/850914/855836/852467/852203/853418/856840/851259",12
"GO:0061077","GO:0061077","chaperone-mediated protein folding","5/102","33/6436",0.151515151515152,9.56030897207368,6.2559027838257,0.000151157470540587,0.00351980967115938,0.00311975380927753,"850633/852203/853418/856840/851259",5
"GO:0170040","GO:0170040","proteinogenic amino acid catabolic process","5/102","33/6436",0.151515151515152,9.56030897207368,6.2559027838257,0.000151157470540587,0.00351980967115938,0.00311975380927753,"851158/850833/855993/855291/856432",5
"GO:0019752","GO:0019752","carboxylic acid metabolic process","16/102","370/6436",0.0432432432432432,2.72856385797562,4.34580684120676,0.000205726818062875,0.00462530639231015,0.00409960156502789,"851346/854556/852902/851158/850833/855993/855291/852523/855732/855786/855447/853613/856814/856432/856539/854852",16
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","4/102","20/6436",0.2,12.6196078431373,6.60403890737611,0.000237041973874907,0.00515171223221465,0.00456617697043243,"852203/853418/856840/851259",4
"GO:0006520","GO:0006520","amino acid metabolic process","12/102","232/6436",0.0517241379310345,3.26369168356998,4.45615927395069,0.000275997029283954,0.00580484074493993,0.00514507195507268,"851346/852902/851158/850833/855993/855291/855786/853613/856814/856432/856539/854852",12
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","8/102","113/6436",0.0707964601769911,4.46711782057956,4.71825667567818,0.000391905856160148,0.00798508181926303,0.00707751036289216,"851346/851158/855786/853613/856814/856432/856539/854852",8
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","4/102","23/6436",0.173913043478261,10.9735720375107,6.08022091421135,0.000417686499811675,0.00820357900787809,0.00727117351521646,"852203/853418/856840/851259",4
"GO:0006560","GO:0006560","proline metabolic process","3/102","10/6436",0.3,18.9294117647059,7.19997540125169,0.000427793997343336,0.00820357900787809,0.00727117351521646,"851158/850833/856432",3
"GO:0009266","GO:0009266","response to temperature stimulus","5/102","43/6436",0.116279069767442,7.33698130414957,5.29053550613535,0.000540785690160467,0.0100740648567036,0.00892906297437884,"851845/851751/854174/850633/855836",5
"GO:0008652","GO:0008652","amino acid biosynthetic process","8/102","124/6436",0.0645161290322581,4.07084123972169,4.38147203144039,0.000730714138608633,0.0130698092599,0.0115843159245804,"851346/851158/855786/853613/856814/856432/856539/854852",8
"GO:0065002","GO:0065002","intracellular protein transmembrane transport","5/102","46/6436",0.108695652173913,6.85848252344416,5.05998183148507,0.000741691629779601,0.0130698092599,0.0115843159245804,"852203/853418/856840/854852/851259",5
"GO:0009067","GO:0009067","aspartate family amino acid biosynthetic process","5/102","50/6436",0.1,6.30980392156863,4.78282357177783,0.00109046585542866,0.0182303522497304,0.016158319963032,"851346/855786/853613/856539/854852",5
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","5/102","50/6436",0.1,6.30980392156863,4.78282357177783,0.00109046585542866,0.0182303522497304,0.016158319963032,"851158/850833/855291/852523/856432",5
