"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046040","GO:0046040","IMP metabolic process","6/39","13/6436",0.461538461538462,76.1656804733728,21.1807196743969,5.51224319411e-11,1.99543203626782e-08,1.8335461571987e-08,"852008/854295/852617/851073/855149/855501",6
"GO:0009127","GO:0009127","purine nucleoside monophosphate biosynthetic process","6/39","22/6436",0.272727272727273,45.006993006993,16.1431008779078,2.30348386529677e-09,2.7795371974581e-07,2.55403825064484e-07,"852008/854295/852617/851073/855149/855501",6
"GO:0009168","GO:0009168","purine ribonucleoside monophosphate biosynthetic process","6/39","22/6436",0.272727272727273,45.006993006993,16.1431008779078,2.30348386529677e-09,2.7795371974581e-07,2.55403825064484e-07,"852008/854295/852617/851073/855149/855501",6
"GO:0006188","GO:0006188","IMP biosynthetic process","5/39","12/6436",0.416666666666667,68.7606837606838,18.3435775625764,4.81190275406267e-09,3.25535442076461e-07,2.99125326246471e-07,"852008/854295/852617/851073/855149",5
"GO:0009126","GO:0009126","purine nucleoside monophosphate metabolic process","6/39","25/6436",0.24,39.6061538461538,15.1001776495918,5.39561506204078e-09,3.25535442076461e-07,2.99125326246471e-07,"852008/854295/852617/851073/855149/855501",6
"GO:0009167","GO:0009167","purine ribonucleoside monophosphate metabolic process","6/39","25/6436",0.24,39.6061538461538,15.1001776495918,5.39561506204078e-09,3.25535442076461e-07,2.99125326246471e-07,"852008/854295/852617/851073/855149/855501",6
"GO:0009123","GO:0009123","nucleoside monophosphate metabolic process","7/39","51/6436",0.137254901960784,22.6505781799899,12.1197186945214,1.6240729922071e-08,8.39877747398528e-07,7.71739948176606e-07,"852008/854295/852617/851073/855149/855501/853844",7
"GO:0009156","GO:0009156","ribonucleoside monophosphate biosynthetic process","6/39","38/6436",0.157894736842105,26.0566801619433,12.0951598850156,7.94183964605389e-08,3.59368243983939e-06,3.30213332651715e-06,"852008/854295/852617/851073/855149/855501",6
"GO:0009124","GO:0009124","nucleoside monophosphate biosynthetic process","6/39","41/6436",0.146341463414634,24.1500938086304,11.6102831913629,1.27648755742544e-07,4.62088495788008e-06,4.24600071733093e-06,"852008/854295/852617/851073/855149/855501",6
"GO:0009161","GO:0009161","ribonucleoside monophosphate metabolic process","6/39","41/6436",0.146341463414634,24.1500938086304,11.6102831913629,1.27648755742544e-07,4.62088495788008e-06,4.24600071733093e-06,"852008/854295/852617/851073/855149/855501",6
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","7/39","76/6436",0.0921052631578947,15.1997300944669,9.72247268251477,2.748592528907e-07,9.04536814058486e-06,8.31153338884796e-06,"852008/854295/852617/851073/855149/855501/853844",7
"GO:0009165","GO:0009165","nucleotide biosynthetic process","8/39","118/6436",0.0677966101694915,11.1881790525858,8.72099757099243,3.85099261574438e-07,1.16171610574956e-05,1.06746812857476e-05,"852008/854295/852617/851073/855149/855501/853541/853844",8
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","8/39","120/6436",0.0666666666666667,11.0017094017094,8.63499714195244,4.38524412642404e-07,1.2038150881058e-05,1.10615169479917e-05,"852008/854295/852617/851073/855149/855501/853541/853844",8
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","7/39","82/6436",0.0853658536585366,14.0875547217011,9.31237026169886,4.65563846228763e-07,1.2038150881058e-05,1.10615169479917e-05,"852008/854295/852617/851073/855149/855501/853844",7
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","7/39","85/6436",0.0823529411764706,13.590346907994,9.12314351742087,5.96542195114438e-07,1.43965516420951e-05,1.32285848179763e-05,"852008/854295/852617/851073/855149/855501/853541",7
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","7/39","90/6436",0.0777777777777778,12.8353276353276,8.8281541843976,8.83388704065813e-07,1.9986669429489e-05,1.83651862161051e-05,"852008/854295/852617/851073/855149/855501/853541",7
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","6/39","61/6436",0.0983606557377049,16.2320302648172,9.33256494128615,1.44304399410308e-06,3.07283485803126e-05,2.82354118970014e-05,"852008/854295/852617/851073/855149/855501",6
"GO:0009259","GO:0009259","ribonucleotide metabolic process","7/39","125/6436",0.056,9.2414358974359,7.26485925890982,8.08446081438202e-06,0.000162587489711461,0.00014939705364589,"852008/854295/852617/851073/855149/855501/853844",7
"GO:0019693","GO:0019693","ribose phosphate metabolic process","7/39","136/6436",0.0514705882352941,8.49396681749623,6.8965096619012,1.40974754744844e-05,0.000268594006408598,0.000246803448749977,"852008/854295/852617/851073/855149/855501/853844",7
"GO:0090407","GO:0090407","organophosphate biosynthetic process","9/39","264/6436",0.0340909090909091,5.62587412587413,5.9924058535021,2.05897413435009e-05,0.000372674318317367,0.000342439908660331,"852008/851910/854295/852617/851073/855149/855501/853541/853844",9
"GO:0009117","GO:0009117","nucleotide metabolic process","8/39","212/6436",0.0377358490566038,6.22738268021287,6.04276683317737,3.09607618758528e-05,0.000533704561859938,0.0004904060527704,"852008/854295/852617/851073/855149/855501/853541/853844",8
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","8/39","220/6436",0.0363636363636364,6.0009324009324,5.89284781457328,4.04075871160654e-05,0.000664888478909804,0.000610947250175917,"852008/854295/852617/851073/855149/855501/853541/853844",8
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","6/39","109/6436",0.055045871559633,9.08398023994354,6.64596391338473,4.25625094208919e-05,0.000669896887407081,0.000615549335331892,"852008/854295/852617/851073/855149/855501",6
"GO:0006163","GO:0006163","purine nucleotide metabolic process","7/39","166/6436",0.0421686746987952,6.9589125733704,6.07303369979125,5.13121042552303e-05,0.000773957572516391,0.000711167760730385,"852008/854295/852617/851073/855149/855501/853541",7
"GO:0009112","GO:0009112","nucleobase metabolic process","4/39","36/6436",0.111111111111111,18.3361823361823,8.1439131451644,5.90019977060629e-05,0.000854348926783791,0.000785037106320669,"852008/854295/852617/853844",4
"GO:0072521","GO:0072521","purine-containing compound metabolic process","7/39","180/6436",0.0388888888888889,6.41766381766382,5.75596757218258,8.58894199993479e-05,0.00119584500152938,0.00109882820727911,"852008/854295/852617/851073/855149/855501/853541",7
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","8/39","251/6436",0.0318725099601594,5.25978138727143,5.37492890489536,0.000102930642319179,0.00138003305627936,0.00126807341024798,"852008/854295/852617/851073/855149/855501/853541/853844",8
"GO:0006144","GO:0006144","purine nucleobase metabolic process","3/39","21/6436",0.142857142857143,23.5750915750916,8.09019969115914,0.000253758930141798,0.00328074045397611,0.00301457977160933,"852008/854295/852617",3
"GO:1901137","GO:1901137","carbohydrate derivative biosynthetic process","7/39","238/6436",0.0294117647058824,4.85369532428356,4.72997093880306,0.00048348470421673,0.00603522285953298,0.00554559588139698,"852008/854295/852617/851073/855149/855501/853844",7
"GO:0019637","GO:0019637","organophosphate metabolic process","9/39","403/6436",0.0223325062034739,3.68543615193739,4.34729483688427,0.000531921595388503,0.0064185205843546,0.0058977973383427,"852008/851910/854295/852617/851073/855149/855501/853541/853844",9
"GO:0006829","GO:0006829","zinc ion transport","2/39","10/6436",0.2,33.0051282051282,7.9080173665874,0.00156159235125224,0.018235368746881,0.0167559654667473,"852637/855369",2
"GO:1901135","GO:1901135","carbohydrate derivative metabolic process","7/39","342/6436",0.0204678362573099,3.37771779877043,3.52809719253869,0.00396292016753385,0.0448305343952267,0.0411935122677861,"852008/854295/852617/851073/855149/855501/853844",7
