"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044283","GO:0044283","small molecule biosynthetic process","34/203","341/6436",0.0997067448680352,3.1611458619245,7.40027988270832,1.25624291915733e-09,1.07911266755615e-06,8.82014765345199e-07,"851620/852008/854105/854275/854090/854022/854411/854096/853994/852825/852691/852875/853047/850933/851010/851069/850759/855900/855084/852519/852179/852442/852542/852551/853356/853482/853357/853473/853243/853810/856800/856804/856428/850485",34
"GO:0000755","GO:0000755","cytogamy","7/203","12/6436",0.583333333333333,18.4942528735632,10.9460389159189,1.94183018408106e-08,8.34016064062814e-06,6.81684596201087e-06,"855272/852328/855442/853677/850451/850330/850518",7
"GO:0016053","GO:0016053","organic acid biosynthetic process","22/203","191/6436",0.115183246073298,3.65181956516132,6.71379635442121,1.09789278184059e-07,2.35772474900266e-05,1.92709075128335e-05,"854105/854275/854090/854411/854096/852825/852691/852875/850933/851010/851069/855084/852179/852551/853482/853357/853473/853243/853810/856800/856804/856428",22
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","22/203","191/6436",0.115183246073298,3.65181956516132,6.71379635442121,1.09789278184059e-07,2.35772474900266e-05,1.92709075128335e-05,"854105/854275/854090/854411/854096/852825/852691/852875/850933/851010/851069/855084/852179/852551/853482/853357/853473/853243/853810/856800/856804/856428",22
"GO:0000747","GO:0000747","conjugation with cellular fusion","15/203","100/6436",0.15,4.75566502463054,6.83050787783397,4.31820740509337e-07,6.26663616335215e-05,5.12204683653683e-05,"852791/855914/855087/855272/852328/855442/855780/853460/853283/853677/856861/850303/850451/850330/850518",15
"GO:0022414","GO:0022414","reproductive process","33/203","412/6436",0.0800970873786408,2.53943278014252,5.82828241265384,4.82889146044119e-07,6.26663616335215e-05,5.12204683653683e-05,"851371/4036073/852011/852057/853988/854349/854490/853002/852791/850743/855901/855914/856115/855973/855087/855272/854936/852328/852552/852445/855442/855780/853413/853460/853677/856861/856405/856364/850303/850451/850330/850518/850545",33
"GO:0019953","GO:0019953","sexual reproduction","33/203","413/6436",0.0799031476997579,2.53328403249085,5.81252639905989,5.10668837525786e-07,6.26663616335215e-05,5.12204683653683e-05,"4036073/852011/852057/853988/854349/854490/853002/852791/850743/855901/855914/856115/855973/855087/855272/854936/852328/852552/852445/855442/855780/853413/853460/853283/853677/856861/856405/856364/850303/850451/850330/850518/850545",33
"GO:0019752","GO:0019752","carboxylic acid metabolic process","30/203","370/6436",0.0810810810810811,2.57062974304354,5.61561347670719,1.3312422698523e-06,0.000142942138725391,0.000116834025525195,"851620/851690/854105/854275/854090/854411/854205/854096/854525/853994/852825/852691/852875/850933/851010/851069/855084/852519/852179/852442/852551/853482/853357/853473/853243/853810/853839/856800/856804/856428",30
"GO:0043436","GO:0043436","oxoacid metabolic process","30/203","388/6436",0.077319587628866,2.45137372403636,5.32185403700542,3.57097800533441e-06,0.000304300216075489,0.000248720353069482,"851620/851690/854105/854275/854090/854411/854205/854096/854525/853994/852825/852691/852875/850933/851010/851069/855084/852519/852179/852442/852551/853482/853357/853473/853243/853810/853839/856800/856804/856428",30
"GO:0022413","GO:0022413","reproductive process in single-celled organism","17/203","149/6436",0.114093959731544,3.61728435877938,5.83305464432241,3.77127542523359e-06,0.000304300216075489,0.000248720353069482,"851371/852011/853988/854349/854490/850743/855973/855272/854936/852328/852445/855442/853413/853677/850451/850330/850518",17
"GO:0006082","GO:0006082","organic acid metabolic process","30/203","390/6436",0.0769230769230769,2.43880257673361,5.29021314305959,3.96691117221522e-06,0.000304300216075489,0.000248720353069482,"851620/851690/854105/854275/854090/854411/854205/854096/854525/853994/852825/852691/852875/850933/851010/851069/855084/852519/852179/852442/852551/853482/853357/853473/853243/853810/853839/856800/856804/856428",30
"GO:1904659","GO:1904659","glucose transmembrane transport","7/203","23/6436",0.304347826086957,9.64917541229385,7.49862670564995,4.46855239733383e-06,0.000304300216075489,0.000248720353069482,"851944/851870/851943/853236/856494/856496/856492",7
"GO:0000003","GO:0000003","reproduction","34/203","477/6436",0.0712788259958071,2.25985479856657,5.16020223364448,4.60524191965233e-06,0.000304300216075489,0.000248720353069482,"851371/4036073/852011/852057/853988/854349/854490/853002/852791/850743/855901/855914/856115/855973/855087/855272/854936/852328/852552/852445/855442/855780/853413/853460/853283/853677/856861/856405/856364/850303/850451/850330/850518/850545",34
"GO:0015761","GO:0015761","mannose transmembrane transport","6/203","16/6436",0.375,11.8891625615764,7.86974553320976,5.62454838953779e-06,0.000345106219043783,0.000282073216227196,"851944/851943/853236/856494/856496/856492",6
"GO:0008645","GO:0008645","hexose transmembrane transport","7/203","26/6436",0.269230769230769,8.53580901856764,6.94802342322243,1.1060654352965e-05,0.000593818880574807,0.000485358977199186,"851944/851870/851943/853236/856494/856496/856492",7
"GO:0015749","GO:0015749","monosaccharide transmembrane transport","7/203","26/6436",0.269230769230769,8.53580901856764,6.94802342322243,1.1060654352965e-05,0.000593818880574807,0.000485358977199186,"851944/851870/851943/853236/856494/856496/856492",7
"GO:0015755","GO:0015755","fructose transmembrane transport","6/203","18/6436",0.333333333333333,10.568144499179,7.33563734444187,1.23659948801455e-05,0.000624846447179119,0.000510719417031398,"851944/851943/853236/856494/856496/856492",6
"GO:0034219","GO:0034219","carbohydrate transmembrane transport","8/203","39/6436",0.205128205128205,6.5034735379563,6.22092179746577,2.26230999305248e-05,0.00102280225475373,0.000835989343693078,"851944/851870/851943/855912/853236/856494/856496/856492",8
"GO:0170041","GO:0170041","non-proteinogenic amino acid metabolic process","8/203","39/6436",0.205128205128205,6.5034735379563,6.22092179746577,2.26230999305248e-05,0.00102280225475373,0.000835989343693078,"854096/852691/850933/851010/855084/852179/853357/856800",8
"GO:0071444","GO:0071444","cellular response to pheromone","10/203","64/6436",0.15625,4.95381773399015,5.73644031840587,2.67345471822737e-05,0.00114824880147866,0.000938523314240872,"852791/855914/855040/855780/853460/853283/853677/856861/854797/850518",10
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","17/203","174/6436",0.0977011494252874,3.09755959458694,5.06181341218185,3.01971906206043e-05,0.0012070671815201,0.000986598627625642,"851690/854275/854090/854411/854096/852691/852875/850933/851010/851069/855084/852179/853482/853357/853473/856800/856428",17
"GO:0008652","GO:0008652","amino acid biosynthetic process","14/203","124/6436",0.112903225806452,3.57953281423804,5.23410144295431,3.14202238653161e-05,0.0012070671815201,0.000986598627625642,"854275/854090/854411/854096/852691/852875/851010/851069/855084/852551/853357/853473/856800/856428",14
"GO:0019236","GO:0019236","response to pheromone","11/203","79/6436",0.139240506329114,4.41454137307476,5.51053227492502,3.23196102153228e-05,0.0012070671815201,0.000986598627625642,"852791/855914/855040/855780/853460/853283/853677/856861/854797/850451/850518",11
"GO:0006520","GO:0006520","amino acid metabolic process","20/203","232/6436",0.0862068965517241,2.73314081875319,4.85194288444448,3.74095180104711e-05,0.00133894899879144,0.00109439247863966,"851690/854275/854090/854411/854096/852691/852875/850933/851010/851069/855084/852179/852551/853482/853357/853473/853839/856800/856428/850485",20
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","13/203","113/6436",0.115044247787611,3.64741270325646,5.12357396787001,4.96773212746405e-05,0.00170691275899665,0.00139514834906043,"854275/854090/854411/854096/852691/852875/851010/851069/855084/853357/853473/856800/856428",13
"GO:0008643","GO:0008643","carbohydrate transport","8/203","48/6436",0.166666666666667,5.28407224958949,5.37611663962825,0.000108720675289535,0.00359196384898886,0.00293589839749472,"851944/851870/851943/855912/853236/856494/856496/856492",8
"GO:0032505","GO:0032505","reproduction of a single-celled organism","17/203","195/6436",0.0871794871794872,2.76397625363143,4.51394933237176,0.000127554746079927,0.0040581306252836,0.0033169206875365,"851371/852011/853988/854349/854490/850743/855973/855272/854936/852328/852445/855442/853413/853677/850451/850330/850518",17
"GO:0055085","GO:0055085","transmembrane transport","30/203","475/6436",0.0631578947368421,2.00238527352865,4.09633675862296,0.000172310770898058,0.00528624829290829,0.00432072496951146,"852121/851944/851870/851943/851317/851329/854332/854397/853994/854001/851129/850631/855912/856331/856260/855032/854959/854924/852444/852238/853236/853663/853739/856494/856496/856492/856357/850333/851230/854597",30
"GO:0000749","GO:0000749","response to pheromone triggering conjugation with cellular fusion","8/203","53/6436",0.150943396226415,4.78557486755275,4.99379929138715,0.000223060645866,0.0066072101654791,0.00540041563675578,"852791/855914/855780/853460/853283/853677/856861/850518",8
"GO:0006526","GO:0006526","arginine biosynthetic process","4/203","11/6436",0.363636363636364,11.5288849081953,6.306899144613,0.000266411804600497,0.00762825800506089,0.00623497100591338,"854096/855084/853357/856800",4
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","7/203","50/6436",0.14,4.43862068965517,4.40482387615523,0.000883662966820112,0.0244860157580154,0.0200136909632942,"854411/853994/850933/852179/852551/853482/853839",7
"GO:0009084","GO:0009084","glutamine family amino acid biosynthetic process","5/203","25/6436",0.2,6.34088669950739,4.82829961624966,0.000942983795880162,0.0253132212706581,0.0206898089425022,"854096/855084/853357/856800/856428",5
"GO:0072528","GO:0072528","pyrimidine-containing compound biosynthetic process","6/203","38/6436",0.157894736842105,5.00596318382162,4.46941173779542,0.00108581685412165,0.028264141748197,0.0231017493364958,"853047/851139/852542/853844/853664/850485",6
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","8/203","68/6436",0.117647058823529,3.72993335265141,4.08393390346884,0.00124143431407333,0.0301268058199749,0.024624201313551,"852011/853988/854349/850743/855973/854936/852445/853413",8
"GO:0032989","GO:0032989","cellular anatomical entity morphogenesis","8/203","68/6436",0.117647058823529,3.72993335265141,4.08393390346884,0.00124143431407333,0.0301268058199749,0.024624201313551,"852011/853988/854349/850743/855973/854936/852445/853413",8
"GO:0006525","GO:0006525","arginine metabolic process","4/203","16/6436",0.25,7.92610837438424,5.0055924992956,0.00129766218316539,0.0301268058199749,0.024624201313551,"854096/855084/853357/856800",4
"GO:0009082","GO:0009082","branched-chain amino acid biosynthetic process","4/203","16/6436",0.25,7.92610837438424,5.0055924992956,0.00129766218316539,0.0301268058199749,0.024624201313551,"854275/852875/851069/853473",4
